runtime_minutes,genres,average_ratings,number_of_votes,release_date,title,production_budget,domestic_gross,worldwide_gross,Total_gross,ROI,month,season,movie_rating,movie_length,genre_1,genre_combined,Budget_Category,Break_Even,Profit_Margin,quarter,year,peak_season
96,"Action,Crime,Drama",4,2536,2014-04-20,Swelter,8000000,0,44197,44197,-99.44753750000001,4,Spring,low,Medium,Action,Action & Crime,Low,False,-180.00776070774035,2014Q2,2014,Non-Peak
93,"Comedy,Drama,Romance",6,2711,2014-03-07,Elsa & Fred,10000000,67657,197901,265558,-97.34442,3,Spring,Average,Medium,Comedy,Comedy & Drama,Low,False,-36.65655713629414,2014Q1,2014,Non-Peak
88,"Comedy,Drama,Fantasy",6,30219,2015-10-09,The Final Girls,4500000,0,0,0,-100.0,10,Fall,Average,Medium,Comedy,Comedy & Drama,Low,False,-inf,2015Q4,2015,Non-Peak
139,"Biography,Drama,History",8,366904,2016-11-04,Hacksaw Ridge,40000000,67209615,168904682,236114297,490.28574249999997,11,Fall,High,Long,Biography,Biography & Drama,Medium,True,0.8305905211661113,2016Q4,2016,Peak
105,"Action,Comedy,Sci-Fi",5,119789,2010-04-01,Pixels,90000000,78765986,244041804,322807790,258.67532222222223,4,Spring,Average,Medium,Action,Action & Comedy,High,True,0.721196319332938,2010Q2,2010,Non-Peak
105,"Action,Comedy,Sci-Fi",5,119789,2015-07-24,Pixels,90000000,78765986,244041804,322807790,258.67532222222223,7,Summer,Average,Medium,Action,Action & Comedy,High,True,0.721196319332938,2015Q3,2015,Peak
116,Crime,5,102,2015-01-25,Alpha,51000000,35851379,99624873,135476252,165.63970980392156,1,Winter,Average,Medium,Crime,Crime,Medium,True,0.623550258830603,2015Q1,2015,Non-Peak
116,Crime,5,102,2018-08-17,Alpha,51000000,35851379,99624873,135476252,165.63970980392156,8,Summer,Average,Medium,Crime,Crime,Medium,True,0.623550258830603,2018Q3,2018,Non-Peak
104,Drama,6,360,2017-09-08,Home Again,15000000,27020284,37336874,64357158,329.04772,9,Fall,Average,Medium,Drama,Drama,Low,True,0.7669256930208136,2017Q3,2017,Non-Peak
144,"Drama,Fantasy,Horror",5,2396,2015-10-13,The Circle,18000000,20497844,40651864,61149708,239.72060000000002,10,Fall,Average,Long,Drama,Drama & Fantasy,Low,True,0.705640458659263,2015Q4,2015,Non-Peak
144,"Drama,Fantasy,Horror",5,2396,2017-04-28,The Circle,18000000,20497844,40651864,61149708,239.72060000000002,4,Spring,Average,Long,Drama,Drama & Fantasy,Low,True,0.705640458659263,2017Q2,2017,Non-Peak
145,"Drama,Mystery,Romance",7,3471,2018-08-07,3,7200000,59774,295492,355266,-95.06575000000001,8,Summer,Average,Long,Drama,Drama & Mystery,Low,False,-19.26650453463039,2018Q3,2018,Non-Peak
102,"Drama,Family,Sport",5,882,2013-04-06,Underdogs,2500000,35017,1392649,1427666,-42.89336,4,Spring,Average,Medium,Drama,Drama & Family,Low,False,-0.7511098534251008,2013Q2,2013,Non-Peak
102,"Drama,Family,Sport",5,882,2015-08-14,Underdogs,2500000,35017,1392649,1427666,-42.89336,8,Summer,Average,Medium,Drama,Drama & Family,Low,False,-0.7511098534251008,2015Q3,2015,Non-Peak
93,"Adventure,Drama,Fantasy",7,77440,2012-06-29,Beasts of the Southern Wild,1800000,12795746,23265132,36060878,1903.3821111111113,6,Summer,Average,Medium,Adventure,Adventure & Drama,Low,True,0.950084410035718,2012Q2,2012,Peak
85,"Horror,Romance,Thriller",6,14,2012-08-06,Truth or Dare,3500000,41411015,95127344,136538359,3801.095971428571,8,Summer,Average,Medium,Horror,Horror & Romance,Low,True,0.9743661779324593,2012Q3,2012,Non-Peak
85,"Horror,Romance,Thriller",6,14,2013-09-13,Truth or Dare,3500000,41411015,95127344,136538359,3801.095971428571,9,Fall,Average,Medium,Horror,Horror & Romance,Low,True,0.9743661779324593,2013Q3,2013,Non-Peak
85,"Horror,Romance,Thriller",6,14,2014-06-15,Truth or Dare,3500000,41411015,95127344,136538359,3801.095971428571,6,Summer,Average,Medium,Horror,Horror & Romance,Low,True,0.9743661779324593,2014Q2,2014,Peak
85,"Horror,Romance,Thriller",6,14,2017-10-08,Truth or Dare,3500000,41411015,95127344,136538359,3801.095971428571,10,Fall,Average,Medium,Horror,Horror & Romance,Low,True,0.9743661779324593,2017Q4,2017,Non-Peak
85,"Horror,Romance,Thriller",6,14,2018-04-13,Truth or Dare,3500000,41411015,95127344,136538359,3801.095971428571,4,Spring,Average,Medium,Horror,Horror & Romance,Low,True,0.9743661779324593,2018Q2,2018,Non-Peak
99,"Action,Crime,Thriller",5,13288,2017-02-24,Collide,29200000,2280004,5466698,7746702,-73.47019863013699,2,Winter,Average,Medium,Action,Action & Crime,Medium,False,-2.7693459745837647,2017Q1,2017,Non-Peak
114,"Action,Adventure,Drama",6,192750,2015-05-29,San Andreas,110000000,155190832,456258539,611449371,455.86306454545456,5,Spring,Average,Medium,Action,Action & Adventure,High,True,0.8200995777948065,2015Q2,2015,Non-Peak
103,"Comedy,Drama,Romance",5,13109,2018-12-21,Second Act,15700000,39282227,63288854,102571081,553.3189872611465,12,Winter,Average,Medium,Comedy,Comedy & Drama,Low,True,0.8469354144761329,2018Q4,2018,Peak
86,"Comedy,Horror",5,8214,2012-10-05,Stitches,2000000,0,63555,63555,-96.82225,10,Fall,Average,Medium,Comedy,Comedy & Horror,Low,False,-30.46880654551176,2012Q4,2012,Non-Peak
103,"Comedy,Crime,Drama",6,5788,2014-03-10,The Mule,50000000,103804407,170857676,274662083,449.324166,3,Spring,Average,Medium,Comedy,Comedy & Crime,Medium,True,0.8179581271143276,2014Q1,2014,Non-Peak
103,"Comedy,Crime,Drama",6,5788,2018-12-14,The Mule,50000000,103804407,170857676,274662083,449.324166,12,Winter,Average,Medium,Comedy,Comedy & Crime,Medium,True,0.8179581271143276,2018Q4,2018,Peak
