iter	RMSE
210	0.4489923129
211	0.4486079103
212	0.4477360966
213	0.4472705507
214	0.4468209425
215	0.4456947774
216	0.4449205729
217	0.4442694646
218	0.4424406625
219	0.442009975
220	0.4404278212
221	0.4399952802
222	0.4395049045
223	0.4389711797
224	0.4382043974
225	0.4373040863
226	0.4369232961
227	0.43574856
228	0.4347842468
229	0.433804054
230	0.4334137504
231	0.4331688244
232	0.4309331442
233	0.4300214689
234	0.4295272463
235	0.4281965185
236	0.4271779025
237	0.4269085182
238	0.4256830402
239	0.425198611
240	0.4243814081
241	0.4235985391
242	0.4228695845
243	0.4218879869
244	0.42160443
245	0.421279378
246	0.4199598431
247	0.4192633482
248	0.4187623787
249	0.4180206275
250	0.4175191007
251	0.4170871738
252	0.4157569899
253	0.4154195615
254	0.4145017873
255	0.4138335552
256	0.4127138765
257	0.4106618984
258	0.4101743154
259	0.4094263185
260	0.4090011892
261	0.4078682944
262	0.4071057741
263	0.4064091863
264	0.4060646121
265	0.4056783887
266	0.4052891073
267	0.4046799539
268	0.4041939822
269	0.4033890538
270	0.40307705
271	0.4026428494
272	0.4022307904
273	0.4016605721
274	0.40137829
275	0.3993746449
276	0.3988102337
277	0.3982525658
278	0.3963728558
279	0.3958856287
280	0.3954005711
281	0.3952314155
282	0.3946132702
283	0.394158608
284	0.3937969755
285	0.3926173975
286	0.3922048424
287	0.3917736654
288	0.3912314424
289	0.3908011974
290	0.3904630701
291	0.3902008907
292	0.3898269477
293	0.3889338191
294	0.3885857496
295	0.3881499596
296	0.3873837369
297	0.38700157
298	0.3855232357
299	0.3851809264
300	0.3850109942
301	0.3840298699
302	0.3832199389
303	0.382819133
304	0.3823692382
305	0.3819646583
306	0.3816150381
307	0.380739224
308	0.3798936955
309	0.3795337141
310	0.3792964404
311	0.37875916
312	0.3770406167
313	0.3766543444
314	0.3764716611
315	0.3754993246
316	0.3750458764
317	0.3747727838
318	0.374482535
319	0.3740271901
320	0.3737199167
321	0.3734626263
322	0.3732350545
323	0.3714091279
324	0.3711056268
325	0.3708229489
326	0.3699245259
327	0.3681156676
328	0.3669756456
329	0.3666106268
330	0.3650122887
331	0.3647992309
332	0.3645078982
333	0.3642139805
334	0.3635193693
335	0.3628251893
336	0.3616076068
337	0.3612813439
338	0.3607892333
339	0.3604259279
340	0.3601767888
341	0.3598901373
342	0.3597150233
343	0.3594618952
344	0.3590217071
345	0.3588242866
346	0.3577864335
347	0.3574494688
348	0.3567488192
349	0.3564256962
350	0.3554997907
351	0.3553233274
352	0.3548769998
353	0.3539285845
354	0.3535730328
355	0.3531887119
356	0.3529875247
357	0.3525079289
358	0.3517185786
359	0.3513548199
360	0.3511699122
361	0.3502703084
362	0.3495170391
363	0.3485276759
364	0.348084907
365	0.3478480779
366	0.3469688654
367	0.3468044736
368	0.3464095412
369	0.3460760884
370	0.3458839489
371	0.3445385757
372	0.3437695541
373	0.3432659613
374	0.343045067
375	0.3428085419
376	0.342532734
377	0.3420593826
378	0.3418512281
379	0.3403981387
380	0.3402448492
381	0.3393429302
382	0.3378800812
383	0.337654846
384	0.3369548601
385	0.3355818875
386	0.3353510208
387	0.3344541739
388	0.3342698935
389	0.3329687183
390	0.332445617
391	0.3322899442
392	0.3320693201
393	0.3316081612
394	0.330789145
395	0.3305383776
396	0.330388456
397	0.3300583189
398	0.3298909903
399	0.3295115171
400	0.3289919224
401	0.3288159771
402	0.3286236345
403	0.3275865112
404	0.3274296188
405	0.3264688877
406	0.3262822983
407	0.325487471
408	0.3252011476
409	0.3249879983
410	0.3247421698
411	0.3241195202
412	0.3238484616
413	0.3227939058
414	0.3221808589
415	0.3219376111
416	0.3210521429
417	0.3207331475
418	0.3204479125
419	0.3202709476
420	0.3194475059
421	0.3192875706
422	0.319055617
423	0.3189079868
424	0.3183358109
425	0.3176770042
426	0.3174780583
427	0.3169188774
428	0.3167519874
429	0.316065962
430	0.3159985241
431	0.3156052109
432	0.3152180875
433	0.314758978
434	0.3146000093
435	0.3144572217
436	0.3141886914
437	0.3136514689
438	0.3135256972
439	0.3133505976
440	0.3132494851
441	0.3131445993
442	0.3130067992
443	0.3127656966
444	0.3125269676
445	0.3121036734
446	0.3116450999
447	0.3115139026
448	0.3113664415
449	0.3112124606
450	0.3110699338
451	0.3109291726
452	0.3108459087
453	0.3107063537
454	0.3105193754
455	0.310201413
456	0.3100633968
457	0.3096569465
458	0.3095326051
459	0.3094343918
460	0.3092454644
461	0.3087968203
462	0.3086657858
463	0.3079927511
464	0.3075309156
465	0.3073442292
466	0.3062966357
467	0.3051857605
468	0.305043174
469	0.3042615009
470	0.3035465593
471	0.3034775655
472	0.3033783447
473	0.3026982674
474	0.3022262946
475	0.3010918627
476	0.3009790234
477	0.3008747808
478	0.3005077699
479	0.3003413767
480	0.2992049008
481	0.2988026132
482	0.2983775072
483	0.2981698861
484	0.2980649051
485	0.2979814967
486	0.2971759186
487	0.2964375406
488	0.2957227067
489	0.2953939233
490	0.2948785597
491	0.2945899684
492	0.2939741408
493	0.2935430585
494	0.2931077922
495	0.2927691715
496	0.2926547324
497	0.2923708048
498	0.2922428385
499	0.2919402495
500	0.2914212848
501	0.291084084
502	0.290484448
503	0.2894764931
504	0.2891906239
505	0.2890814091
506	0.2885766979
507	0.2876419888
508	0.2875152714
509	0.2874372478
510	0.2868915743
511	0.2867886253
512	0.2866936434
513	0.2865616955
514	0.2857195662
515	0.2850547539
516	0.2849455933
517	0.2847161713
518	0.2844662465
519	0.2834050114
520	0.2832893625
521	0.2829725127
522	0.2825303825
523	0.2824348564
524	0.2822852381
525	0.2820965957
526	0.2811861649
527	0.2810542161
528	0.2809638413
529	0.2803690625
530	0.2800336164
531	0.279941796
532	0.2798434342
533	0.2794757946
534	0.2792991895
535	0.2790036923
536	0.2787048276
537	0.2778651619
538	0.2778097909
539	0.2772082925
540	0.2769578886
541	0.2768749253
542	0.2766366047
543	0.2765665175
544	0.2761557411
545	0.2757544147
546	0.2755255405
547	0.2754334524
548	0.2750126933
549	0.2749287219
550	0.2739901685
551	0.2738881526
552	0.273792251
553	0.2729965776
554	0.2725965027
555	0.2725079364
556	0.2723077184
557	0.2721745943
558	0.272067968
559	0.27201066
560	0.2716670739
561	0.2711228119
562	0.2710466363
563	0.2704355452
564	0.2703185648
565	0.2698160783
566	0.2692647365
567	0.2689203655
568	0.2688351478
569	0.2683438162
570	0.2677843787
571	0.267342203
572	0.2672665399
573	0.2671965449
574	0.267119319
575	0.2670172375
576	0.2668263281
577	0.2665548233
578	0.2663184562
579	0.2660449053
580	0.2657472813
581	0.2655478603
582	0.2654374647
583	0.2653154978
584	0.2651587226
585	0.2648738087
586	0.2647964505
587	0.2646164184
588	0.2641704676
589	0.2634368107
590	0.2632869902
591	0.2632081279
592	0.2628043312
593	0.2627076813
594	0.2623722445
595	0.2622877739
596	0.2620923176
597	0.2620104797
598	0.2615184741
599	0.2613990734
600	0.2607431166
601	0.2601944237
602	0.2597065363
603	0.2589746425
604	0.2584596152
605	0.2583935422
606	0.2583342546
607	0.2581322617
608	0.2579283064
609	0.2571122846
610	0.2564061111
611	0.2563670945
612	0.2562336732
613	0.2559294047
614	0.2554888907
615	0.2551987968
616	0.2551569732
617	0.2549673589
618	0.2549004759
619	0.2548120974
620	0.254117644
621	0.2536285793
622	0.2535469369
623	0.2530762703
624	0.2527166773
625	0.2525952171
626	0.2524542617
627	0.2523888288
628	0.2523214022
629	0.2522725802
630	0.2522089773
631	0.2521191474
632	0.2516280781
633	0.2515691316
634	0.2514561498
635	0.2511582256
636	0.2510059678
637	0.2509433993
638	0.2508548117
639	0.2507920303
640	0.2506859558
641	0.2503762503
642	0.2501009561
643	0.2497168771
644	0.24931392
645	0.2486231665
646	0.2485548665
647	0.2484446254
648	0.2480566253
649	0.2478275128
650	0.2477451875
651	0.2476906085
652	0.2476211446
653	0.2474099757
654	0.2473478739
655	0.2471759292
656	0.2470828136
657	0.246996755
658	0.2469283533
659	0.2463421629
660	0.2460544156
661	0.245867232
662	0.2458035964
663	0.2451490463
664	0.2450483058
665	0.2445832019
666	0.244137322
667	0.2440368651
668	0.2439243547
669	0.243747695
670	0.2436880777
671	0.2435267895
672	0.2434650584
673	0.2432110699
674	0.2427811549
675	0.2427438452
676	0.2427099692
677	0.2422935322
678	0.2421298205
679	0.2420690751
680	0.2418683532
681	0.2416938711
682	0.2413222444
683	0.2412681188
684	0.2411832013
685	0.2407116713
686	0.2406357094
687	0.2403009797
688	0.2399473462
689	0.2398810084
690	0.2397207493
691	0.2393827219
692	0.239134297
693	0.238515756
694	0.2384452498
695	0.2380218956
696	0.2376680617
697	0.2375916953
698	0.2373911027
699	0.2371143142
700	0.236703558
701	0.2359510884
702	0.2355832276
703	0.2354332038
704	0.2348067576
705	0.2347272111
706	0.2346983459
707	0.2343514669
708	0.2343065903
709	0.2342492866
710	0.233916922
711	0.2338384479
712	0.2337591218
713	0.2335081867
714	0.2329624643
715	0.2328950474
716	0.2325778842
717	0.232273954
718	0.2322164459
719	0.2318039682
720	0.2317007221
721	0.231200143
722	0.230818899
723	0.2303647319
724	0.2303270772
725	0.2300866557
726	0.2296187585
727	0.2286839671
728	0.2282228763
729	0.2273567479
730	0.2268666508
731	0.2262970308
732	0.2259398432
733	0.2258845919
734	0.2254603332
735	0.2250977382
736	0.2250061666
737	0.2249212482
738	0.2244721497
739	0.2244299503
740	0.2243413272
741	0.2242222017
742	0.2235663697
743	0.223508849
744	0.2230706016
745	0.2227849532
746	0.2227627693
747	0.2225353517
748	0.2224716843
749	0.2223886171
750	0.2220028002
751	0.2217891443
752	0.2213800243
753	0.2212912235
754	0.2212465129
755	0.2208575027
756	0.2200730943
757	0.2198845728
758	0.2194757048
759	0.2194074012
760	0.21935893
761	0.2192258632
762	0.2188490995
763	0.2188157131
764	0.218663525
765	0.2182360827
766	0.2181630304
767	0.2181251496
768	0.2180580287
769	0.2176645936
770	0.2175863281
771	0.2172093012
772	0.2171350907
773	0.217068345
774	0.2170113521
775	0.2169597421
776	0.2169361662
777	0.2168372246
778	0.216783172
779	0.2167638247
780	0.2165588033
781	0.2165204643
782	0.2164334331
783	0.2164032649
784	0.2160464761
785	0.2157411149
786	0.2156750943
787	0.2152876984
788	0.2151524877
789	0.2151263131
790	0.2147315435
791	0.2143480717
792	0.2142786955
793	0.2139128858
794	0.2135623233
795	0.2134926255
796	0.2132555156
797	0.2132055766
798	0.2128216904
799	0.2127870689
800	0.2124480829
801	0.2120787051
802	0.2120213926
803	0.2117287181
804	0.211452135
805	0.2109358769
806	0.2106058499
807	0.2105311813
808	0.2102926382
809	0.2101114391
810	0.2098882538
811	0.2094605995
812	0.2094537596
813	0.2090974602
814	0.2086981049
815	0.2085496814
816	0.2083798887
817	0.2080532198
818	0.2079243507
819	0.207436864
820	0.2073613126
821	0.2069137558
822	0.2067414329
823	0.2064729092
824	0.2062487693
825	0.20585658
826	0.2058413388
827	0.2056804365
828	0.2056272148
829	0.2051103651
830	0.2047084477
831	0.2046170846
832	0.2042592527
833	0.2041916278
834	0.2040121402
835	0.2037868493
836	0.2037252938
837	0.2034445678
838	0.2033711938
839	0.2033184887
840	0.2030646329
841	0.2030126244
842	0.2025044041
843	0.2024265423
844	0.2022439776
845	0.2018895117
846	0.2016037984
847	0.201532499
848	0.2013953213
849	0.2010542782
850	0.2009890668
851	0.2006336486
852	0.2003662279
853	0.2003105392
854	0.2002618915
855	0.2001955582
856	0.2001349602
857	0.2000719945
858	0.1998279457
859	0.199780475
860	0.1997148138
861	0.1993696995
862	0.1990252281
863	0.1986278457
864	0.1981968878
865	0.1980716235
866	0.1975946537
867	0.197276111
868	0.1969401244
869	0.1967202105
870	0.196407889
871	0.1960208094
872	0.1959351971
873	0.1957457901
874	0.1956831128
875	0.1951747179
876	0.194790772
877	0.1944945323
878	0.1943327771
879	0.1941833675
880	0.194107478
881	0.1940590954
882	0.1940317534
883	0.1940255353
884	0.1937293193
885	0.1934524588
886	0.1931579138
887	0.1929170857
888	0.1926758053
889	0.1925949688
890	0.192357337
891	0.1923191892
892	0.1920386449
893	0.1919344807
894	0.1917817887
895	0.1913924801
896	0.1909707312
897	0.1906986526
898	0.1905470837
899	0.1902619396
900	0.1901733852
901	0.189862437
902	0.1898303378
903	0.1895670866
904	0.1892556511
905	0.1892190131
906	0.1891675956
907	0.1890135663
908	0.1887020097
909	0.1886668664
910	0.1883707389
911	0.1883213183
912	0.1878358299
913	0.1877985219
914	0.1876568088
915	0.1874752133
916	0.1874277619
917	0.1868364979
918	0.1866540924
919	0.1864861582
920	0.1861896249
921	0.1859809865
922	0.1859647701
923	0.1857086053
924	0.185673823
925	0.1856417966
926	0.1855963485
927	0.1851609834
928	0.1850744505
929	0.1846154241
930	0.1844806558
931	0.1843583148
932	0.1840742816
933	0.1838073046
934	0.1836927492
935	0.1836281084
936	0.1835546758
937	0.1835047459
938	0.1834473089
939	0.1833748354
940	0.183327872
941	0.1832829136
942	0.1832231997
943	0.1831652077
944	0.1827096908
945	0.1826823844
946	0.1823606585
947	0.1822869892
948	0.182199837
949	0.1821496722
950	0.1818993574
951	0.1818594954
952	0.1817912491
953	0.1816869888
954	0.1814281246
955	0.181254157
956	0.1810986653
957	0.1807916777
958	0.1806076006
959	0.1805362988
960	0.1802993248
961	0.1798086365
962	0.1795700011
963	0.1794127906
964	0.1791111525
965	0.1790430763
966	0.1788927087
967	0.1788159547
968	0.1788000836
969	0.1785276076
970	0.1784693507
971	0.1781850079
972	0.17791909
973	0.1775269887
974	0.1774793611
975	0.1773363197
976	0.1769895273
977	0.176940743
978	0.176663167
979	0.176241642
980	0.1761898133
981	0.175970803
982	0.1758009464
983	0.1757768505
984	0.1756097174
985	0.175241871
986	0.1749314882
987	0.1748012652
988	0.174541136
989	0.1743712823
990	0.1741404312
991	0.173873972
992	0.1738172685
993	0.1735771669
994	0.1734560801
995	0.1733595195
996	0.1732799168
997	0.1732004673
998	0.1728445612
999	0.1724681694
